device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_2E57D0,2025-04-11T18:18:00,306.83,0.02681,446.06,ON,34.22,32.58,-0.02603,763.9987,2328.584,33.37
ESP32_2E57D0,2025-04-11T19:18:00,298.13,0.02645,445.2,ON,32.11,31.23,-0.02678,766.742,2305.206,31.73
ESP32_2E57D0,2025-04-11T20:18:00,327.07,0.02627,447.34,ON,28.13,27.07,-0.02631,763.0926,2304.724,27.79
ESP32_2E57D0,2025-04-11T21:18:00,306.04,0.02692,439.69,OFF,,,,764.7614,2324.326,24.74
ESP32_2E57D0,2025-04-11T22:18:00,342.96,0.02694,449.34,OFF,,,,765.5258,2310.095,23.91
ESP32_2E57D0,2025-04-11T23:18:00,346.08,0.02606,452.09,OFF,,,,765.5562,2308.623,21.43
ESP32_2E57D0,2025-04-12T00:18:00,354.77,0.02643,448.94,ON,21.21,20.31,-0.02512,766.8242,2306.9,20.57
ESP32_2E57D0,2025-04-12T01:18:00,330.71,0.02676,447.58,ON,19.2,17.64,-0.02526,763.4619,2308.295,18.33
ESP32_2E57D0,2025-04-12T02:18:00,314.52,0.02674,425.55,ON,18.47,17.17,-0.02673,763.966,2314.909,17.55
ESP32_2E57D0,2025-04-12T03:18:00,318.62,0.02654,446.78,OFF,,,,765.1061,2318.165,17.06
ESP32_2E57D0,2025-04-12T04:18:00,309.88,0.02657,439.29,OFF,,,,762.9382,2311.337,16.03
ESP32_2E57D0,2025-04-12T05:18:00,351.66,0.02601,451.19,OFF,,,,762.9808,2332.935,16.4
ESP32_2E57D0,2025-04-12T06:18:00,348.2,0.02673,433.29,ON,16.9,15.4,-0.02546,765.1937,2326.379,16.5
ESP32_2E57D0,2025-04-12T07:18:00,329.35,0.02667,427.25,ON,18.28,16.84,-0.0254,762.7942,2304.409,17.59
ESP32_2E57D0,2025-04-12T08:18:00,363.28,0.02696,428.0,ON,19.54,18.14,-0.02698,765.6601,2321.648,18.87
ESP32_2E57D0,2025-04-12T09:18:00,336.3,0.02691,450.22,OFF,,,,763.5482,2311.607,20.73
ESP32_2E57D0,2025-04-12T10:18:00,357.74,0.02678,427.37,OFF,,,,764.8468,2310.373,24.11
ESP32_2E57D0,2025-04-12T11:18:00,334.17,0.02681,448.27,OFF,,,,765.8489,2314.468,27.82
ESP32_2E57D0,2025-04-12T12:18:00,350.54,0.02635,444.69,ON,31.35,30.15,-0.02695,762.0553,2327.005,30.62
ESP32_2E57D0,2025-04-12T13:18:00,346.64,0.02605,443.72,ON,34.5,32.63,-0.02558,765.6364,2307.167,33.43
ESP32_2E57D0,2025-04-12T14:18:00,331.28,0.02637,452.32,ON,35.38,34.42,-0.02558,764.4648,2315.015,35.3
ESP32_2E57D0,2025-04-12T15:18:00,351.87,0.02697,447.06,OFF,,,,765.6706,2320.6,35.54
ESP32_2E57D0,2025-04-12T16:18:00,318.49,0.02643,451.42,OFF,,,,766.3429,2315.416,35.21
ESP32_2E57D0,2025-04-12T17:18:00,364.1,0.0263,426.58,OFF,,,,765.4047,2325.534,34.65
ESP32_2E57D0,2025-04-12T18:18:00,315.7,0.02646,428.32,ON,33.79,33.07,-0.02597,764.6453,2320.843,33.51
ESP32_2E57D0,2025-04-12T19:18:00,308.1,0.02696,441.31,ON,31.0,29.94,-0.02531,764.9088,2304.799,30.51
ESP32_2E57D0,2025-04-12T20:18:00,339.44,0.02613,438.42,ON,27.8,26.73,-0.02567,764.4262,2320.423,26.86
ESP32_2E57D0,2025-04-12T21:18:00,323.02,0.02615,426.42,OFF,,,,763.0155,2307.168,25.1
ESP32_2E57D0,2025-04-12T22:18:00,333.92,0.02636,448.09,OFF,,,,764.3181,2304.26,22.31
ESP32_2E57D0,2025-04-12T23:18:00,305.88,0.02613,443.58,OFF,,,,764.9437,2303.553,20.99
ESP32_2E57D0,2025-04-13T00:18:00,315.44,0.02636,424.43,ON,20.22,18.56,-0.02628,766.8452,2307.694,19.59
ESP32_2E57D0,2025-04-13T01:18:00,350.37,0.02633,430.41,ON,19.43,18.2,-0.02545,765.8236,2309.867,17.97
ESP32_2E57D0,2025-04-13T02:18:00,311.03,0.02695,449.48,ON,18.37,17.68,-0.02521,763.0901,2314.637,17.88
ESP32_2E57D0,2025-04-13T03:18:00,349.89,0.02699,426.93,OFF,,,,762.9682,2325.117,17.01
ESP32_2E57D0,2025-04-13T04:18:00,357.49,0.02613,427.55,OFF,,,,766.5665,2302.616,17.09
ESP32_2E57D0,2025-04-13T05:18:00,316.09,0.02648,452.22,OFF,,,,764.9239,2306.349,17.1
ESP32_2E57D0,2025-04-13T06:18:00,312.47,0.02633,426.36,ON,18.61,16.88,-0.02696,766.9989,2312.773,17.71
ESP32_2E57D0,2025-04-13T07:18:00,303.09,0.02644,434.8,ON,18.15,16.65,-0.02631,766.7085,2322.922,17.31
ESP32_2E57D0,2025-04-13T08:18:00,335.87,0.0263,424.23,ON,19.82,18.9,-0.02669,763.499,2314.473,19.19
ESP32_2E57D0,2025-04-13T09:18:00,314.09,0.02649,453.45,OFF,,,,762.5206,2321.005,21.12
ESP32_2E57D0,2025-04-13T10:18:00,337.97,0.02611,426.3,OFF,,,,766.3683,2308.491,24.0
ESP32_2E57D0,2025-04-13T11:18:00,323.35,0.02646,453.41,OFF,,,,762.3187,2313.922,26.71
ESP32_2E57D0,2025-04-13T12:18:00,324.06,0.02664,450.29,ON,30.77,28.98,-0.02679,765.8976,2307.501,29.73
ESP32_2E57D0,2025-04-13T13:18:00,344.32,0.02627,444.59,ON,33.55,31.96,-0.02694,763.2056,2327.288,32.68
ESP32_2E57D0,2025-04-13T14:18:00,327.96,0.02698,431.7,ON,33.94,32.87,-0.02589,765.7953,2331.139,33.32
ESP32_2E57D0,2025-04-13T15:18:00,326.98,0.02661,451.53,OFF,,,,762.4878,2323.981,33.5
ESP32_2E57D0,2025-04-13T16:18:00,302.79,0.02642,450.65,OFF,,,,766.1688,2305.402,34.55
ESP32_2E57D0,2025-04-13T17:18:00,302.38,0.02689,427.48,OFF,,,,762.0017,2314.595,33.57
ESP32_2E57D0,2025-04-13T18:18:00,316.31,0.02628,452.37,ON,32.89,32.3,-0.02518,762.3793,2330.881,32.5
ESP32_2E57D0,2025-04-13T19:18:00,298.94,0.02646,436.27,ON,31.22,30.2,-0.02502,765.3783,2318.786,30.67
ESP32_2E57D0,2025-04-13T20:18:00,332.61,0.02611,437.35,ON,27.99,26.57,-0.02683,762.6419,2316.197,27.05
ESP32_2E57D0,2025-04-13T21:18:00,303.72,0.02641,438.73,OFF,,,,766.7932,2324.088,23.61
ESP32_2E57D0,2025-04-13T22:18:00,316.03,0.02691,449.37,OFF,,,,765.3558,2319.554,22.88
ESP32_2E57D0,2025-04-13T23:18:00,332.36,0.02637,441.84,OFF,,,,766.9338,2319.183,21.56
ESP32_2E57D0,2025-04-14T00:18:00,323.2,0.02656,434.61,ON,20.34,20.11,-0.02611,766.0107,2312.476,19.98
ESP32_2E57D0,2025-04-14T01:18:00,342.96,0.02617,441.05,ON,20.2,18.52,-0.02677,764.5659,2314.844,19.42
