device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_5D99C8,2025-04-11T18:18:00,338.76,0.02688,436.53,ON,32.94,31.13,-0.02565,766.5858,2322.656,31.94
ESP32_5D99C8,2025-04-11T19:18:00,343.51,0.02698,424.1,ON,31.54,30.13,-0.02553,764.8403,2330.509,30.97
ESP32_5D99C8,2025-04-11T20:18:00,355.97,0.02615,447.73,ON,26.56,25.86,-0.02589,765.3172,2314.203,26.01
ESP32_5D99C8,2025-04-11T21:18:00,365.27,0.02691,438.27,OFF,24.72,23.38,-0.02641,762.4434,2305.268,23.71
ESP32_5D99C8,2025-04-11T22:18:00,326.5,0.02646,431.21,OFF,23.56,22.33,-0.02592,762.5671,2322.055,22.9
ESP32_5D99C8,2025-04-11T23:18:00,310.47,0.02632,449.23,OFF,21.78,20.69,-0.02695,765.6324,2314.212,20.73
ESP32_5D99C8,2025-04-12T00:18:00,361.43,0.0262,430.06,ON,20.1,19.1,-0.02675,765.0766,2303.715,19.69
ESP32_5D99C8,2025-04-12T01:18:00,311.57,0.0269,436.79,ON,18.11,17.09,-0.02665,766.2487,2316.522,17.54
ESP32_5D99C8,2025-04-12T02:18:00,359.25,0.02604,452.95,ON,17.06,16.6,-0.02559,762.9734,2331.714,16.79
ESP32_5D99C8,2025-04-12T03:18:00,358.85,0.02616,445.02,OFF,16.81,16.14,-0.02534,765.5411,2318.763,15.64
ESP32_5D99C8,2025-04-12T04:18:00,322.63,0.02661,427.03,OFF,16.43,14.83,-0.02668,765.5737,2312.632,15.38
ESP32_5D99C8,2025-04-12T05:18:00,301.67,0.02683,435.15,OFF,15.93,15.11,-0.027,762.0451,2309.919,15.02
ESP32_5D99C8,2025-04-12T06:18:00,355.88,0.02697,441.7,ON,15.89,15.02,-0.02539,765.2678,2314.881,15.06
ESP32_5D99C8,2025-04-12T07:18:00,353.0,0.02696,423.23,ON,17.24,15.79,-0.02606,762.4221,2320.099,16.25
ESP32_5D99C8,2025-04-12T08:18:00,302.59,0.02601,452.29,ON,18.77,17.63,-0.02571,765.6434,2304.484,17.94
ESP32_5D99C8,2025-04-12T09:18:00,351.73,0.02645,439.66,OFF,20.2,19.58,-0.02645,766.1907,2318.551,19.7
