device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_5ED9F4,2025-04-11T18:18:00,250.23,5.03,7.01,ON,267.01,21.01,-0.01989,760.0574,2300.344,19.01541
ESP32_5ED9F4,2025-04-11T19:18:00,244.63,4.19,6.81,ON,267.17,21.23,-0.02268,758.6581,2291.949,19.28679
ESP32_5ED9F4,2025-04-11T20:18:00,239.46,3.42,6.63,ON,267.53,21.7,-0.02527,757.3657,2284.194,19.87937
ESP32_5ED9F4,2025-04-11T21:18:00,235.13,2.77,6.48,OFF,,,,756.2832,2277.699,20.75276
ESP32_5ED9F4,2025-04-11T22:18:00,231.99,2.3,6.37,OFF,,,,755.4967,2272.98,21.84744
ESP32_5ED9F4,2025-04-11T23:18:00,230.28,2.04,6.31,OFF,,,,755.069,2270.414,23.08882
ESP32_5ED9F4,2025-04-12T00:18:00,230.14,2.02,6.3,ON,270.24,25.31,-0.02993,755.0341,2270.205,24.3923
ESP32_5ED9F4,2025-04-12T01:18:00,231.58,2.24,6.36,ON,271.0,26.34,-0.02921,755.3947,2272.368,25.66903
ESP32_5ED9F4,2025-04-12T02:18:00,234.49,2.67,6.46,ON,271.7,27.27,-0.02776,756.1222,2276.733,26.83203
ESP32_5ED9F4,2025-04-12T03:18:00,238.63,3.3,6.6,OFF,,,,757.1587,2282.952,27.80203
ESP32_5ED9F4,2025-04-12T04:18:00,243.69,4.05,6.78,OFF,,,,758.4214,2290.528,28.51293
ESP32_5ED9F4,2025-04-12T05:18:00,249.24,4.89,6.97,OFF,,,,759.8099,2298.859,28.91627
ESP32_5ED9F4,2025-04-12T06:18:00,254.85,5.73,7.17,ON,272.99,28.99,-0.01757,761.2135,2307.281,28.98459
ESP32_5ED9F4,2025-04-12T07:18:00,260.08,6.51,7.35,ON,272.83,28.77,-0.01496,762.5205,2315.123,28.71321
ESP32_5ED9F4,2025-04-12T08:18:00,264.51,7.18,7.51,ON,272.47,28.3,-0.01275,763.6267,2321.76,28.12063
ESP32_5ED9F4,2025-04-12T09:18:00,267.78,7.67,7.62,OFF,,,,764.444,2326.664,27.24724
ESP32_5ED9F4,2025-04-12T10:18:00,269.63,7.94,7.69,OFF,,,,764.9073,2329.444,26.15256
ESP32_5ED9F4,2025-04-12T11:18:00,269.92,7.99,7.7,OFF,,,,764.9796,2329.878,24.91118
ESP32_5ED9F4,2025-04-12T12:18:00,268.62,7.79,7.65,ON,269.76,24.69,-0.01069,764.6553,2327.932,23.6077
ESP32_5ED9F4,2025-04-12T13:18:00,265.84,7.38,7.55,ON,269.0,23.66,-0.01208,763.9602,2323.761,22.33097
ESP32_5ED9F4,2025-04-12T14:18:00,261.8,6.77,7.41,ON,268.3,22.73,-0.0141,762.9496,2317.698,21.16797
ESP32_5ED9F4,2025-04-12T15:18:00,256.82,6.02,7.24,OFF,,,,761.704,2310.224,20.19797
ESP32_5ED9F4,2025-04-12T16:18:00,251.29,5.19,7.05,OFF,,,,760.3227,2301.936,19.48707
ESP32_5ED9F4,2025-04-12T17:18:00,245.66,4.35,6.85,OFF,,,,758.9157,2293.494,19.08373
ESP32_5ED9F4,2025-04-12T18:18:00,240.38,3.56,6.66,ON,267.01,21.01,-0.02481,757.595,2285.57,19.01541
ESP32_5ED9F4,2025-04-12T19:18:00,235.86,2.88,6.51,ON,267.17,21.23,-0.02707,756.466,2278.796,19.28679
ESP32_5ED9F4,2025-04-12T20:18:00,232.47,2.37,6.39,ON,267.53,21.7,-0.02876,755.6184,2273.711,19.87937
ESP32_5ED9F4,2025-04-12T21:18:00,230.48,2.07,6.32,OFF,,,,755.1199,2270.72,20.75276
ESP32_5ED9F4,2025-04-12T22:18:00,230.04,2.01,6.3,OFF,,,,755.0102,2270.061,21.84744
ESP32_5ED9F4,2025-04-12T23:18:00,231.19,2.18,6.34,OFF,,,,755.2979,2271.787,23.08882
ESP32_5ED9F4,2025-04-13T00:18:00,233.84,2.58,6.43,ON,270.24,25.31,-0.02808,755.9602,2275.761,24.3923
ESP32_5ED9F4,2025-04-13T01:18:00,237.78,3.17,6.57,ON,271.0,26.34,-0.02611,756.9443,2281.666,25.66903
ESP32_5ED9F4,2025-04-13T02:18:00,242.69,3.9,6.74,ON,271.7,27.27,-0.02366,758.1718,2289.031,26.83203
ESP32_5ED9F4,2025-04-13T03:18:00,248.18,4.73,6.94,OFF,,,,759.5449,2297.27,27.80203
ESP32_5ED9F4,2025-04-13T04:18:00,253.82,5.57,7.13,OFF,,,,760.9543,2305.726,28.51293
ESP32_5ED9F4,2025-04-13T05:18:00,259.15,6.37,7.32,OFF,,,,762.2877,2313.726,28.91627
