device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_FEWCD01,2025-04-11T18:18:00,231.72,2.7,6.04,ON,269.18,20.78,-0.02457,759.7339,2276.229,19.02
ESP32_FEWCD01,2025-04-11T19:18:00,246.13,5.87,7.06,ON,267.45,20.94,-0.02194,755.6126,2294.336,19.29
ESP32_FEWCD01,2025-04-11T20:18:00,241.53,2.53,6.03,ON,267.72,21.65,-0.02328,755.3687,2275.544,19.88
ESP32_FEWCD01,2025-04-11T21:18:00,254.0,3.86,6.53,OFF,,,,757.4591,2290.722,20.75
ESP32_FEWCD01,2025-04-11T22:18:00,253.51,5.18,6.53,OFF,,,,757.0535,2304.45,21.85
ESP32_FEWCD01,2025-04-11T23:18:00,231.37,2.65,6.22,OFF,,,,755.9749,2309.283,23.09
ESP32_FEWCD01,2025-04-12T00:18:00,237.74,4.6,7.26,ON,268.19,22.14,-0.02501,760.2387,2279.224,24.39
ESP32_FEWCD01,2025-04-12T01:18:00,250.22,5.02,5.79,ON,264.11,21.58,-0.01882,760.2318,2308.351,25.67
ESP32_FEWCD01,2025-04-12T02:18:00,226.49,2.12,5.81,ON,268.74,22.77,-0.01939,759.9625,2276.554,26.83
ESP32_FEWCD01,2025-04-12T03:18:00,227.88,5.98,7.17,OFF,,,,759.7481,2287.265,27.8
ESP32_FEWCD01,2025-04-12T04:18:00,245.54,5.9,6.74,OFF,,,,755.8515,2291.779,28.51
ESP32_FEWCD01,2025-04-12T05:18:00,240.97,2.23,6.25,OFF,,,,758.3195,2289.574,28.92
ESP32_FEWCD01,2025-04-12T06:18:00,237.36,3.36,7.0,ON,272.4,22.9,-0.03297,755.7766,2281.644,28.98
ESP32_FEWCD01,2025-04-12T07:18:00,233.93,5.28,6.88,ON,264.14,20.22,-0.0199,757.4275,2276.662,28.71
ESP32_FEWCD01,2025-04-12T08:18:00,252.79,2.59,5.95,ON,264.54,24.55,-0.02158,755.5097,2285.458,28.12
ESP32_FEWCD01,2025-04-12T09:18:00,236.51,5.96,6.12,OFF,,,,755.4045,2286.974,27.25
ESP32_FEWCD01,2025-04-12T10:18:00,248.77,6.43,5.54,OFF,,,,757.5089,2281.444,26.15
ESP32_FEWCD01,2025-04-12T11:18:00,252.15,2.75,7.49,OFF,,,,756.1122,2279.763,24.91
ESP32_FEWCD01,2025-04-12T12:18:00,240.5,4.95,6.66,ON,269.52,24.13,-0.02307,755.5877,2270.13,23.61
ESP32_FEWCD01,2025-04-12T13:18:00,229.13,1.84,6.5,ON,268.39,21.86,-0.01681,756.2261,2306.898,22.33
ESP32_FEWCD01,2025-04-12T14:18:00,225.56,4.05,7.27,ON,265.43,23.71,-0.0219,759.6213,2297.956,21.17
ESP32_FEWCD01,2025-04-12T15:18:00,234.42,4.41,6.49,OFF,,,,755.1074,2278.446,20.2
ESP32_FEWCD01,2025-04-12T16:18:00,230.79,1.69,6.34,OFF,,,,756.7565,2295.811,19.49
ESP32_FEWCD01,2025-04-12T17:18:00,231.8,5.09,6.82,OFF,,,,755.4617,2284.84,19.08
ESP32_FEWCD01,2025-04-12T18:18:00,241.33,3.51,7.09,ON,270.85,22.34,-0.02722,756.7868,2291.972,19.02
ESP32_FEWCD01,2025-04-12T19:18:00,239.04,4.7,7.24,ON,271.3,23.52,-0.02186,758.3896,2292.783,19.29
ESP32_FEWCD01,2025-04-12T20:18:00,229.29,6.3,5.52,ON,266.51,20.76,-0.0316,755.1379,2306.582,19.88
ESP32_FEWCD01,2025-04-12T21:18:00,237.18,1.08,7.14,OFF,,,,755.7445,2297.619,20.75
ESP32_FEWCD01,2025-04-12T22:18:00,225.21,4.3,5.8,OFF,,,,759.2975,2293.262,21.85
ESP32_FEWCD01,2025-04-12T23:18:00,228.99,4.47,5.9,OFF,,,,757.8362,2293.01,23.09
ESP32_FEWCD01,2025-04-13T00:18:00,247.98,2.26,7.34,ON,266.79,20.11,-0.03099,757.7867,2282.06,24.39
ESP32_FEWCD01,2025-04-13T01:18:00,236.87,3.97,6.08,ON,269.89,24.03,-0.03101,756.5538,2274.049,25.67
ESP32_FEWCD01,2025-04-13T02:18:00,237.9,4.04,6.61,ON,271.85,23.19,-0.03203,759.2341,2281.279,26.83
ESP32_FEWCD01,2025-04-13T03:18:00,234.45,5.87,7.49,OFF,,,,759.8587,2272.123,27.8
ESP32_FEWCD01,2025-04-13T04:18:00,252.76,4.68,7.14,OFF,,,,760.8123,2303.617,28.51
ESP32_FEWCD01,2025-04-13T05:18:00,252.68,5.35,5.6,OFF,,,,757.8327,2278.895,28.92
ESP32_FEWCD01,2025-04-13T06:18:00,249.09,1.58,7.34,ON,267.41,21.53,-0.02671,758.7157,2296.638,28.98
ESP32_FEWCD01,2025-04-13T07:18:00,238.79,6.47,5.65,ON,263.64,21.54,-0.0222,755.9969,2298.7,28.71
ESP32_FEWCD01,2025-04-13T08:18:00,247.86,1.53,5.65,ON,269.27,20.61,-0.01632,760.0049,2290.715,28.12
ESP32_FEWCD01,2025-04-13T09:18:00,233.08,1.84,6.01,OFF,,,,756.639,2291.659,27.25
ESP32_FEWCD01,2025-04-13T10:18:00,241.69,5.5,5.69,OFF,,,,756.6414,2274.321,26.15
ESP32_FEWCD01,2025-04-13T11:18:00,245.15,1.9,5.7,OFF,,,,755.0354,2278.042,24.91
ESP32_FEWCD01,2025-04-13T12:18:00,235.86,1.71,6.13,ON,269.25,23.85,-0.03487,757.1797,2283.544,23.61
ESP32_FEWCD01,2025-04-13T13:18:00,225.88,4.56,5.59,ON,271.69,24.56,-0.0334,760.2856,2291.874,22.33
ESP32_FEWCD01,2025-04-13T14:18:00,252.92,1.57,6.4,ON,266.6,20.97,-0.01814,757.0035,2299.497,21.17
ESP32_FEWCD01,2025-04-13T15:18:00,246.65,6.99,6.01,OFF,,,,755.2196,2302.771,20.2
ESP32_FEWCD01,2025-04-13T16:18:00,241.43,1.66,7.08,OFF,,,,756.2988,2274.19,19.49
ESP32_FEWCD01,2025-04-13T17:18:00,231.35,4.72,5.64,OFF,,,,758.0824,2302.196,19.08
ESP32_FEWCD01,2025-04-13T18:18:00,231.72,2.89,5.79,ON,266.47,23.41,-0.02818,760.9438,2280.364,19.02
ESP32_FEWCD01,2025-04-13T19:18:00,236.23,3.64,5.82,ON,263.11,21.48,-0.02137,758.566,2306.436,19.29
ESP32_FEWCD01,2025-04-13T20:18:00,250.76,3.28,5.99,ON,268.03,24.31,-0.02501,758.016,2277.525,19.88
ESP32_FEWCD01,2025-04-13T21:18:00,245.98,1.9,6.07,OFF,,,,757.5159,2306.135,20.75
ESP32_FEWCD01,2025-04-13T22:18:00,244.53,5.88,6.86,OFF,,,,759.3524,2297.276,21.85
ESP32_FEWCD01,2025-04-13T23:18:00,245.33,3.08,7.04,OFF,,,,760.1553,2298.753,23.09
ESP32_FEWCD01,2025-04-14T00:18:00,226.03,5.0,5.99,ON,264.87,24.92,-0.02293,756.4075,2283.414,24.39
ESP32_FEWCD01,2025-04-14T01:18:00,236.11,6.56,7.01,ON,264.13,23.89,-0.02983,755.7797,2306.594,25.67
ESP32_FEWCD01,2025-04-14T02:18:00,236.03,2.7,6.9,ON,270.2,20.03,-0.02214,760.4681,2283.543,26.83
ESP32_FEWCD01,2025-04-14T03:18:00,230.82,3.27,6.62,OFF,,,,760.6676,2294.115,27.8
ESP32_FEWCD01,2025-04-14T04:18:00,235.28,5.82,6.8,OFF,,,,760.9632,2302.848,28.51
ESP32_FEWCD01,2025-04-14T05:18:00,244.69,1.21,7.36,OFF,,,,758.4759,2278.72,28.92
ESP32_FEWCD01,2025-04-14T06:18:00,241.3,3.86,6.05,ON,263.57,20.63,-0.01686,757.1425,2305.474,28.98
ESP32_FEWCD01,2025-04-14T07:18:00,237.13,6.71,5.94,ON,269.85,23.45,-0.03135,757.1554,2285.418,28.71
ESP32_FEWCD01,2025-04-14T08:18:00,241.68,3.42,6.19,ON,269.69,24.85,-0.01797,758.1926,2283.68,28.12
ESP32_FEWCD01,2025-04-14T09:18:00,235.64,4.64,6.93,OFF,,,,755.0063,2274.563,27.25
ESP32_FEWCD01,2025-04-14T10:18:00,238.09,6.06,6.51,OFF,,,,757.4326,2290.243,26.15
ESP32_FEWCD01,2025-04-14T11:18:00,254.25,1.2,7.5,OFF,,,,756.0895,2292.197,24.91
ESP32_FEWCD01,2025-04-14T12:18:00,247.02,3.71,6.93,ON,265.83,24.81,-0.02443,760.5851,2297.633,23.61
ESP32_FEWCD01,2025-04-14T13:18:00,243.68,2.01,7.36,ON,272.45,24.92,-0.01828,757.3667,2304.854,22.33
ESP32_FEWCD01,2025-04-14T14:18:00,228.02,5.67,7.46,ON,272.32,24.43,-0.02476,758.2284,2290.28,21.17
ESP32_FEWCD01,2025-04-14T15:18:00,247.87,5.43,5.52,OFF,,,,757.2904,2303.411,20.2
ESP32_FEWCD01,2025-04-14T16:18:00,245.72,2.41,7.05,OFF,,,,756.7062,2274.012,19.49
ESP32_FEWCD01,2025-04-14T17:18:00,253.59,3.9,7.47,OFF,,,,756.026,2294.47,19.08
ESP32_FEWCD01,2025-04-14T18:18:00,232.47,3.81,7.26,ON,271.61,24.28,-0.02581,759.7662,2298.483,19.02
ESP32_FEWCD01,2025-04-14T19:18:00,237.4,6.5,7.34,ON,267.11,23.77,-0.031,757.6194,2303.873,19.29
ESP32_FEWCD01,2025-04-14T20:18:00,225.38,1.45,6.7,ON,267.93,24.24,-0.03401,759.8522,2302.882,19.88
