device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_RF2889,2025-04-11T18:18:00,235.91,2.57,7.15,ON,267.87,21.58,-0.03075,759.0001,2300.735,19.02
ESP32_RF2889,2025-04-11T19:18:00,228.64,2.73,6.85,ON,263.22,21.52,-0.03056,759.0747,2271.054,19.29
ESP32_RF2889,2025-04-11T20:18:00,237.95,5.39,7.07,ON,266.19,20.6,-0.02073,756.4757,2287.185,19.88
ESP32_RF2889,2025-04-11T21:18:00,227.68,5.12,7.11,OFF,,,,757.4879,2306.807,20.75
ESP32_RF2889,2025-04-11T22:18:00,229.48,5.72,7.38,OFF,,,,755.2631,2281.72,21.85
ESP32_RF2889,2025-04-11T23:18:00,247.7,4.5,5.95,OFF,,,,759.3251,2307.036,23.09
ESP32_RF2889,2025-04-12T00:18:00,254.37,2.11,7.37,ON,272.22,21.92,-0.03124,759.2568,2300.741,24.39
ESP32_RF2889,2025-04-12T01:18:00,251.72,4.27,6.4,ON,265.89,24.9,-0.01686,758.9146,2289.22,25.67
ESP32_RF2889,2025-04-12T02:18:00,247.99,6.83,5.78,ON,272.38,22.15,-0.02255,758.9387,2295.165,26.83
ESP32_RF2889,2025-04-12T03:18:00,240.78,5.41,6.65,OFF,,,,760.2604,2296.144,27.8
ESP32_RF2889,2025-04-12T04:18:00,250.59,5.54,6.36,OFF,,,,755.6505,2302.61,28.51
ESP32_RF2889,2025-04-12T05:18:00,251.06,3.55,7.29,OFF,,,,758.151,2283.837,28.92
ESP32_RF2889,2025-04-12T06:18:00,253.99,1.22,7.39,ON,269.24,22.06,-0.03137,759.9421,2277.16,28.98
ESP32_RF2889,2025-04-12T07:18:00,230.44,5.06,6.17,ON,263.83,24.25,-0.02183,758.1699,2288.085,28.71
ESP32_RF2889,2025-04-12T08:18:00,242.41,1.82,6.31,ON,267.03,23.92,-0.01904,758.6489,2298.209,28.12
ESP32_RF2889,2025-04-12T09:18:00,226.87,2.25,7.18,OFF,,,,755.8299,2298.212,27.25
ESP32_RF2889,2025-04-12T10:18:00,252.24,2.04,6.9,OFF,,,,756.5122,2301.187,26.15
ESP32_RF2889,2025-04-12T11:18:00,231.37,3.12,5.59,OFF,,,,759.2785,2305.97,24.91
ESP32_RF2889,2025-04-12T12:18:00,251.11,1.52,6.37,ON,272.37,23.17,-0.0306,758.0552,2294.084,23.61
ESP32_RF2889,2025-04-12T13:18:00,252.83,5.54,6.63,ON,270.11,24.9,-0.03339,759.0733,2287.4,22.33
ESP32_RF2889,2025-04-12T14:18:00,227.79,6.94,6.5,ON,270.39,21.73,-0.02183,757.3473,2305.49,21.17
