device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_2E57D0,2025-04-11T18:18:00,306.83,0.02681,446.06,ON,32.12,30.48,-0.02603,763.9987,2328.584,31.27
ESP32_2E57D0,2025-04-11T19:18:00,298.13,0.02645,445.2,ON,29.36,27.77,-0.02678,766.742,2305.206,28.5
ESP32_2E57D0,2025-04-11T20:18:00,327.07,0.02627,447.34,ON,27.36,25.56,-0.02631,763.0926,2304.724,25.57
ESP32_2E57D0,2025-04-11T21:18:00,306.04,0.02692,439.69,OFF,,,,764.7614,2324.326,23.04
ESP32_2E57D0,2025-04-11T22:18:00,342.96,0.02694,449.34,OFF,,,,765.5258,2310.095,21.87
ESP32_2E57D0,2025-04-11T23:18:00,346.08,0.02606,452.09,OFF,,,,765.5562,2308.623,20.87
ESP32_2E57D0,2025-04-12T00:18:00,354.77,0.02643,448.94,ON,39.4,38.1,-0.02512,766.8242,2306.9,38.38
ESP32_2E57D0,2025-04-12T01:18:00,330.71,0.02676,447.58,ON,37.33,36.44,-0.02526,763.4619,2308.295,37.11
ESP32_2E57D0,2025-04-12T02:18:00,314.52,0.02674,425.55,ON,37.67,36.67,-0.02673,763.966,2314.909,36.98
ESP32_2E57D0,2025-04-12T03:18:00,318.62,0.02654,446.78,OFF,,,,765.1061,2318.165,35.79
ESP32_2E57D0,2025-04-12T04:18:00,309.88,0.02657,439.29,OFF,,,,762.9382,2311.337,34.49
ESP32_2E57D0,2025-04-12T05:18:00,351.66,0.02601,451.19,OFF,,,,762.9808,2332.935,16.0
ESP32_2E57D0,2025-04-12T06:18:00,348.2,0.02673,433.29,ON,17.2,15.7,-0.02546,765.1937,2326.379,16.8
ESP32_2E57D0,2025-04-12T07:18:00,329.35,0.02667,427.25,ON,19.08,17.64,-0.0254,762.7942,2304.409,18.39
ESP32_2E57D0,2025-04-12T08:18:00,363.28,0.02696,428.0,ON,21.65,20.33,-0.02698,765.6601,2321.648,20.34
ESP32_2E57D0,2025-04-12T09:18:00,336.3,0.02691,450.22,OFF,,,,763.5482,2311.607,23.43
ESP32_2E57D0,2025-04-12T10:18:00,357.74,0.02678,427.37,OFF,,,,764.8468,2310.373,26.37
ESP32_2E57D0,2025-04-12T11:18:00,334.17,0.02681,448.27,OFF,,,,765.8489,2314.468,30.02
ESP32_2E57D0,2025-04-12T12:18:00,350.54,0.02635,444.69,ON,33.08,31.85,-0.02695,762.0553,2327.005,32.36
ESP32_2E57D0,2025-04-12T13:18:00,346.64,0.02605,443.72,ON,35.3,33.43,-0.02558,765.6364,2307.167,34.23
ESP32_2E57D0,2025-04-12T14:18:00,331.28,0.02637,452.32,ON,35.78,33.7,-0.02558,764.4648,2315.015,33.99
ESP32_2E57D0,2025-04-12T15:18:00,351.87,0.02697,447.06,OFF,,,,765.6706,2320.6,34.24
ESP32_2E57D0,2025-04-12T16:18:00,318.49,0.02643,451.42,OFF,,,,766.3429,2315.416,34.51
ESP32_2E57D0,2025-04-12T17:18:00,364.1,0.0263,426.58,OFF,,,,765.4047,2325.534,31.9
ESP32_2E57D0,2025-04-12T18:18:00,315.7,0.02646,428.32,ON,30.49,29.77,-0.02597,764.6453,2320.843,30.21
ESP32_2E57D0,2025-04-12T19:18:00,308.1,0.02696,441.31,ON,27.74,26.38,-0.02531,764.9088,2304.799,27.28
ESP32_2E57D0,2025-04-12T20:18:00,339.44,0.02613,438.42,ON,25.63,24.7,-0.02567,764.4262,2320.423,24.91
ESP32_2E57D0,2025-04-12T21:18:00,323.02,0.02615,426.42,OFF,,,,763.0155,2307.168,22.2
ESP32_2E57D0,2025-04-12T22:18:00,333.92,0.02636,448.09,OFF,,,,764.3181,2304.26,21.08
ESP32_2E57D0,2025-04-12T23:18:00,305.88,0.02613,443.58,OFF,,,,764.9437,2303.553,21.32
ESP32_2E57D0,2025-04-13T00:18:00,315.44,0.02636,424.43,ON,36.35,35.09,-0.02628,766.8452,2307.694,35.45
ESP32_2E57D0,2025-04-13T01:18:00,350.37,0.02633,430.41,ON,35.91,35.68,-0.02545,765.8236,2309.867,36.06
ESP32_2E57D0,2025-04-13T02:18:00,311.03,0.02695,449.48,ON,36.34,34.84,-0.02521,763.0901,2314.637,35.13
ESP32_2E57D0,2025-04-13T03:18:00,349.89,0.02699,426.93,OFF,,,,762.9682,2325.117,34.44
ESP32_2E57D0,2025-04-13T04:18:00,357.49,0.02613,427.55,OFF,,,,766.5665,2302.616,34.44
ESP32_2E57D0,2025-04-13T05:18:00,316.09,0.02648,452.22,OFF,,,,764.9239,2306.349,17.2
ESP32_2E57D0,2025-04-13T06:18:00,312.47,0.02633,426.36,ON,17.71,15.98,-0.02696,766.9989,2312.773,16.81
ESP32_2E57D0,2025-04-13T07:18:00,303.09,0.02644,434.8,ON,19.35,17.85,-0.02631,766.7085,2322.922,18.51
ESP32_2E57D0,2025-04-13T08:18:00,335.87,0.0263,424.23,ON,22.13,20.82,-0.02669,763.499,2314.473,20.9
ESP32_2E57D0,2025-04-13T09:18:00,314.09,0.02649,453.45,OFF,,,,762.5206,2321.005,23.62
ESP32_2E57D0,2025-04-13T10:18:00,337.97,0.02611,426.3,OFF,,,,766.3683,2308.491,25.61
ESP32_2E57D0,2025-04-13T11:18:00,323.35,0.02646,453.41,OFF,,,,762.3187,2313.922,29.01
ESP32_2E57D0,2025-04-13T12:18:00,324.06,0.02664,450.29,ON,31.43,30.55,-0.02679,765.8976,2307.501,30.6
ESP32_2E57D0,2025-04-13T13:18:00,344.32,0.02627,444.59,ON,33.75,32.16,-0.02694,763.2056,2327.288,32.88
ESP32_2E57D0,2025-04-13T14:18:00,327.96,0.02698,431.7,ON,34.05,32.76,-0.02589,765.7953,2331.139,33.14
ESP32_2E57D0,2025-04-13T15:18:00,326.98,0.02661,451.53,OFF,,,,762.4878,2323.981,33.7
ESP32_2E57D0,2025-04-13T16:18:00,302.79,0.02642,450.65,OFF,,,,766.1688,2305.402,33.35
ESP32_2E57D0,2025-04-13T17:18:00,302.38,0.02689,427.48,OFF,,,,762.0017,2314.595,31.64
ESP32_2E57D0,2025-04-13T18:18:00,316.31,0.02628,452.37,ON,30.79,30.2,-0.02518,762.3793,2330.881,30.4
ESP32_2E57D0,2025-04-13T19:18:00,298.94,0.02646,436.27,ON,27.97,26.69,-0.02502,765.3783,2318.786,27.29
ESP32_2E57D0,2025-04-13T20:18:00,332.61,0.02611,437.35,ON,25.53,24.59,-0.02683,762.6419,2316.197,24.88
ESP32_2E57D0,2025-04-13T21:18:00,303.72,0.02641,438.73,OFF,,,,766.7932,2324.088,22.01
ESP32_2E57D0,2025-04-13T22:18:00,316.03,0.02691,449.37,OFF,,,,765.3558,2319.554,21.27
ESP32_2E57D0,2025-04-13T23:18:00,332.36,0.02637,441.84,OFF,,,,766.9338,2319.183,21.34
ESP32_2E57D0,2025-04-14T00:18:00,323.2,0.02656,434.61,ON,40.16,38.68,-0.02611,766.0107,2312.476,39.74
ESP32_2E57D0,2025-04-14T01:18:00,342.96,0.02617,441.05,ON,38.5,37.42,-0.02677,764.5659,2314.844,38.02
ESP32_2E57D0,2025-04-14T02:18:00,299.75,0.02676,434.61,ON,38.44,37.32,-0.02675,762.9894,2314.449,37.87
ESP32_2E57D0,2025-04-14T03:18:00,359.3,0.02678,432.01,OFF,,,,765.5959,2316.998,37.14
ESP32_2E57D0,2025-04-14T04:18:00,339.97,0.02638,448.78,OFF,,,,766.7398,2315.065,35.82
ESP32_2E57D0,2025-04-14T05:18:00,342.72,0.02625,449.61,OFF,,,,766.7312,2316.185,18.07
ESP32_2E57D0,2025-04-14T06:18:00,338.16,0.02644,423.41,ON,18.24,17.22,-0.02521,763.2674,2312.641,17.39
ESP32_2E57D0,2025-04-14T07:18:00,306.91,0.02682,435.07,ON,19.17,17.88,-0.02547,764.4235,2323.433,18.41
ESP32_2E57D0,2025-04-14T08:18:00,333.45,0.02699,430.14,ON,22.18,21.3,-0.02679,766.5664,2302.764,21.76
ESP32_2E57D0,2025-04-14T09:18:00,359.2,0.02673,425.56,OFF,,,,764.8924,2305.572,23.92
ESP32_2E57D0,2025-04-14T10:18:00,308.05,0.02694,447.71,OFF,,,,765.1429,2310.403,27.33
ESP32_2E57D0,2025-04-14T11:18:00,314.53,0.02679,447.9,OFF,,,,763.5208,2325.541,31.55
ESP32_2E57D0,2025-04-14T12:18:00,317.59,0.02644,435.04,ON,33.38,32.8,-0.02556,763.541,2323.608,32.88
ESP32_2E57D0,2025-04-14T13:18:00,344.37,0.02661,441.99,ON,35.77,35.09,-0.02654,765.9635,2324.586,35.32
ESP32_2E57D0,2025-04-14T14:18:00,307.56,0.02638,432.89,ON,35.44,33.75,-0.02681,763.8573,2312.254,33.73
ESP32_2E57D0,2025-04-14T15:18:00,338.57,0.0268,449.17,OFF,,,,763.0917,2319.727,33.46
ESP32_2E57D0,2025-04-14T16:18:00,299.63,0.02691,442.9,OFF,,,,763.7949,2331.93,33.54
ESP32_2E57D0,2025-04-14T17:18:00,303.64,0.0264,425.01,OFF,,,,765.6377,2319.133,31.7
ESP32_2E57D0,2025-04-14T18:18:00,314.51,0.02612,428.21,ON,31.26,29.75,-0.0258,762.3176,2324.398,30.62
ESP32_2E57D0,2025-04-14T19:18:00,307.61,0.0263,425.08,ON,29.54,28.75,-0.0263,764.9215,2303.392,28.44
ESP32_2E57D0,2025-04-14T20:18:00,326.31,0.02621,446.4,ON,27.13,25.32,-0.02578,764.3131,2326.781,26.32
ESP32_2E57D0,2025-04-14T21:18:00,345.99,0.02655,451.27,OFF,,,,765.3835,2322.066,24.31
