device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_5D99C8,2025-04-11T18:18:00,338.76,0.02688,436.53,ON,31.74,29.93,-0.02565,766.5858,2322.656,30.74
ESP32_5D99C8,2025-04-11T19:18:00,343.51,0.02698,424.1,ON,29.36,27.9,-0.02553,764.8403,2330.509,28.29
ESP32_5D99C8,2025-04-11T20:18:00,355.97,0.02615,447.73,ON,25.75,24.59,-0.02589,765.3172,2314.203,25.7
ESP32_5D99C8,2025-04-11T21:18:00,365.27,0.02691,438.27,OFF,,,,763.4857,2304.749,22.91
ESP32_5D99C8,2025-04-11T22:18:00,326.5,0.02646,431.21,OFF,,,,764.705,2305.516,21.61
ESP32_5D99C8,2025-04-11T23:18:00,310.47,0.02632,449.23,OFF,,,,762.1282,2324.521,21.14
ESP32_5D99C8,2025-04-12T00:18:00,361.43,0.0262,430.06,ON,39.11,37.57,-0.02675,765.0766,2303.715,38.08
ESP32_5D99C8,2025-04-12T01:18:00,311.57,0.0269,436.79,ON,37.84,36.6,-0.02665,766.2487,2316.522,37.47
ESP32_5D99C8,2025-04-12T02:18:00,359.25,0.02604,452.95,ON,38.21,36.49,-0.02559,762.9734,2331.714,36.81
ESP32_5D99C8,2025-04-12T03:18:00,358.85,0.02616,445.02,OFF,,,,766.1548,2323.955,36.62
ESP32_5D99C8,2025-04-12T04:18:00,322.63,0.02661,427.03,OFF,,,,762.7891,2324.157,34.7
ESP32_5D99C8,2025-04-12T05:18:00,301.67,0.02683,435.15,OFF,,,,762.0004,2302.28,15.52
ESP32_5D99C8,2025-04-12T06:18:00,355.88,0.02697,441.7,ON,17.09,16.22,-0.02539,765.2678,2314.881,16.26
ESP32_5D99C8,2025-04-12T07:18:00,353.0,0.02696,423.23,ON,18.94,17.49,-0.02606,762.4221,2320.099,17.95
ESP32_5D99C8,2025-04-12T08:18:00,302.59,0.02601,452.29,ON,21.98,20.85,-0.02571,765.6434,2304.484,21.19
ESP32_5D99C8,2025-04-12T09:18:00,351.73,0.02645,439.66,OFF,,,,763.3746,2327.983,23.3
ESP32_5D99C8,2025-04-12T10:18:00,304.39,0.0269,452.09,OFF,,,,763.5196,2308.077,26.01
ESP32_5D99C8,2025-04-12T11:18:00,335.97,0.02626,430.61,OFF,,,,763.6342,2309.039,29.83
ESP32_5D99C8,2025-04-12T12:18:00,359.8,0.02673,434.12,ON,33.31,31.75,-0.0255,762.3872,2308.024,32.19
ESP32_5D99C8,2025-04-12T13:18:00,303.24,0.02694,443.27,ON,34.67,34.01,-0.0269,766.1949,2307.635,34.19
ESP32_5D99C8,2025-04-12T14:18:00,358.52,0.02688,442.71,ON,34.64,33.39,-0.02697,764.7725,2302.31,34.48
ESP32_5D99C8,2025-04-12T15:18:00,316.69,0.02622,444.57,OFF,,,,763.223,2327.9,34.16
ESP32_5D99C8,2025-04-12T16:18:00,343.36,0.02696,429.68,OFF,,,,766.0337,2330.041,34.41
ESP32_5D99C8,2025-04-12T17:18:00,305.44,0.026,437.75,OFF,,,,764.5155,2328.617,32.1
ESP32_5D99C8,2025-04-12T18:18:00,300.07,0.02635,445.88,ON,30.6,29.78,-0.02533,762.236,2329.404,30.25
ESP32_5D99C8,2025-04-12T19:18:00,307.98,0.0262,435.03,ON,27.68,26.2,-0.02558,762.0132,2315.471,27.65
ESP32_5D99C8,2025-04-12T20:18:00,357.06,0.02641,446.31,ON,24.61,23.46,-0.02614,764.5146,2319.835,24.12
ESP32_5D99C8,2025-04-12T21:18:00,352.9,0.02608,447.44,OFF,,,,763.2899,2321.092,21.93
ESP32_5D99C8,2025-04-12T22:18:00,364.36,0.02662,434.27,OFF,,,,766.4178,2312.93,21.44
ESP32_5D99C8,2025-04-12T23:18:00,321.78,0.02642,440.67,OFF,,,,762.4576,2324.689,20.23
ESP32_5D99C8,2025-04-13T00:18:00,349.07,0.02692,451.55,ON,37.3,36.11,-0.02667,762.4758,2317.848,36.35
ESP32_5D99C8,2025-04-13T01:18:00,347.53,0.02609,450.11,ON,36.76,35.34,-0.02508,764.9833,2315.254,35.49
ESP32_5D99C8,2025-04-13T02:18:00,318.28,0.02666,434.63,ON,36.13,34.27,-0.02598,763.1721,2305.54,34.95
ESP32_5D99C8,2025-04-13T03:18:00,347.79,0.02644,436.89,OFF,,,,765.9285,2306.436,34.21
ESP32_5D99C8,2025-04-13T04:18:00,322.15,0.02657,429.08,OFF,,,,765.134,2326.981,33.95
ESP32_5D99C8,2025-04-13T05:18:00,319.17,0.02681,431.14,OFF,,,,766.4394,2321.179,17.21
ESP32_5D99C8,2025-04-13T06:18:00,339.74,0.02608,432.11,ON,17.34,15.72,-0.02635,763.6982,2308.227,16.49
ESP32_5D99C8,2025-04-13T07:18:00,330.01,0.02659,426.97,ON,19.42,18.22,-0.02683,765.766,2322.184,18.73
